query_id,database,label,row_latency,col_latency,speedup_ratio,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
q_0019,Airline,0,1301.0179072618484,3082.641452550888,0.4220464583012907,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0053,Airline,0,15.946175903081894,83.34174752235413,0.19133479171173812,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0
q_0027,Airline,0,122.20840826630592,172.78921902179718,0.7072687113128827,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0002,Airline,0,75.4605419933796,117.98609644174576,0.639571477226025,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0049,Airline,0,5.890453606843948,27938.480612635612,0.00021083657656672635,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0
q_0008,Airline,0,124.4400754570961,175.9547509253025,0.7072277094122013,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
q_0059,Airline,0,405.57038113474846,1681.4626932144165,0.24120093937940912,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,1,7,0,1,0,0,0
q_0014,Airline,0,384.3106798827648,2846.8929827213287,0.13499301948308728,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0032,Airline,0,70.64064666628838,39949.01306703687,0.001768270133426052,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,1,0,0,0,1,1,0,0,6,0,1,0,0,0
q_0000,Airline,1,40.437570959329605,0.5321435630321503,75.98996543135205,0,0,0,69.0776,0,0,0,0,1,0,0,0,0,0.693147,0,4294970000.0,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0
